Unnamed: 0,Classifier,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
4,SGD-GR,78.59,74.99,86.26,80.12,78.59,78.42,0.14,0.87,0.58,Individual,Extract Interface
5,NB(B)-GR,70.93,63.98,97.55,77.17,70.93,68.45,0.21,0.88,0.49,Individual,Extract Interface
6,NB(G)-GR,62.64,57.75,96.58,72.21,62.64,57.4,0.37,0.88,0.34,Individual,Extract Interface
7,NB(M)-GR,80.78,78.18,85.74,81.74,80.78,80.71,0.22,0.83,0.62,Individual,Extract Interface
8,KNN-GR,85.13,82.43,89.53,85.8,85.13,85.09,0.11,0.91,0.71,Individual,Extract Interface
0,Stack-LR-GR,87.74,86.6,89.44,87.97,87.74,87.73,0.09,0.94,0.76,Stacking,Extract Interface
1,Stack-DT-GR,79.48,80.58,77.63,79.03,79.48,79.45,0.2,0.8,0.59,Stacking,Extract Interface
0,TBStack-LR-GR,88.47,87.12,90.42,88.71,88.47,88.46,0.09,0.95,0.77,TreeStacking,Extract Interface
1,TBStack-DT-GR,82.96,83.19,82.78,82.95,82.96,82.95,0.17,0.83,0.66,TreeStacking,Extract Interface
0,DT-GR,85.51,86.13,84.68,85.39,85.51,85.51,0.14,0.86,0.71,Individual,Extract Subclass
1,LR-GR,79.41,75.2,87.79,80.99,79.41,79.26,0.14,0.88,0.6,Individual,Extract Subclass
2,SVM-GR,83.38,79.65,89.7,84.36,83.38,83.31,0.12,0.91,0.67,Individual,Extract Subclass
3,MLP-GR,88.96,85.25,94.26,89.51,88.96,88.93,0.08,0.95,0.78,Individual,Extract Subclass
4,SGD-GR,78.68,75.99,84.27,79.74,78.68,78.56,0.14,0.88,0.58,Individual,Extract Subclass
5,NB(B)-GR,70.91,63.56,98.03,77.12,70.91,68.59,0.23,0.82,0.5,Individual,Extract Subclass
6,NB(G)-GR,61.44,56.7,96.89,71.53,61.44,55.89,0.38,0.88,0.33,Individual,Extract Subclass
7,NB(M)-GR,80.5,77.97,85.05,81.32,80.5,80.45,0.22,0.83,0.61,Individual,Extract Subclass
8,KNN-GR,86.27,84.1,89.48,86.69,86.27,86.25,0.1,0.93,0.73,Individual,Extract Subclass
0,Stack-LR-GR,88.96,86.2,92.78,89.36,88.96,88.94,0.08,0.95,0.78,Stacking,Extract Subclass
1,Stack-DT-GR,84.42,85.54,82.85,84.12,84.42,84.4,0.15,0.85,0.69,Stacking,Extract Subclass
0,TBStack-LR-GR,89.83,87.85,92.48,90.08,89.83,89.82,0.07,0.96,0.8,TreeStacking,Extract Subclass
1,TBStack-DT-GR,84.81,85.22,84.24,84.71,84.81,84.81,0.15,0.85,0.7,TreeStacking,Extract Subclass
0,DT-GR,83.67,83.39,84.24,83.78,83.67,83.66,0.16,0.83,0.67,Individual,Extract Superclass
1,LR-GR,80.18,76.59,87.34,81.56,80.18,80.05,0.13,0.89,0.61,Individual,Extract Superclass
2,SVM-GR,84.26,80.25,91.26,85.34,84.26,84.16,0.11,0.91,0.69,Individual,Extract Superclass
3,MLP-GR,88.64,87.18,90.7,88.89,88.64,88.64,0.08,0.95,0.77,Individual,Extract Superclass
4,SGD-GR,79.45,76.12,86.09,80.72,79.45,79.33,0.13,0.89,0.6,Individual,Extract Superclass
5,NB(B)-GR,70.91,63.79,98.06,77.22,70.91,68.38,0.22,0.86,0.5,Individual,Extract Superclass
6,NB(G)-GR,63.14,57.97,97.7,72.7,63.14,57.79,0.37,0.9,0.36,Individual,Extract Superclass
7,NB(M)-GR,81.81,79.31,86.39,82.65,81.81,81.75,0.22,0.85,0.64,Individual,Extract Superclass
8,KNN-GR,86.21,83.86,89.89,86.73,86.21,86.18,0.11,0.92,0.73,Individual,Extract Superclass
0,Stack-LR-GR,88.62,87.21,90.58,88.85,88.62,88.62,0.09,0.95,0.77,Stacking,Extract Superclass
1,Stack-DT-GR,77.41,81.08,70.99,75.29,77.41,77.16,0.22,0.78,0.56,Stacking,Extract Superclass
0,TBStack-LR-GR,88.85,87.13,91.28,89.14,88.85,88.84,0.08,0.95,0.78,TreeStacking,Extract Superclass
1,TBStack-DT-GR,83.02,83.55,82.4,82.93,83.02,83.01,0.17,0.83,0.66,TreeStacking,Extract Superclass
0,DT-GR,89.92,90.35,89.74,89.81,89.92,89.88,0.1,0.9,0.8,Individual,Move And Rename Class
1,LR-GR,82.48,79.08,88.74,83.51,82.48,82.38,0.12,0.94,0.66,Individual,Move And Rename Class
2,SVM-GR,84.79,82.42,88.57,85.29,84.79,84.75,0.1,0.95,0.7,Individual,Move And Rename Class
3,MLP-GR,89.01,84.83,95.36,89.66,89.01,88.94,0.07,0.97,0.79,Individual,Move And Rename Class
4,SGD-GR,84.05,80.2,90.73,84.98,84.05,83.95,0.11,0.95,0.69,Individual,Move And Rename Class
5,NB(B)-GR,80.5,72.99,98.84,83.72,80.5,79.6,0.13,0.92,0.66,Individual,Move And Rename Class
6,NB(G)-GR,72.23,65.03,96.52,77.66,72.23,70.4,0.27,0.95,0.51,Individual,Move And Rename Class
7,NB(M)-GR,83.55,77.4,96.02,85.54,83.55,83.17,0.2,0.94,0.7,Individual,Move And Rename Class
8,KNN-GR,89.92,88.32,92.04,90.09,89.92,89.91,0.08,0.95,0.8,Individual,Move And Rename Class
0,Stack-LR-GR,91.98,89.46,95.36,92.21,91.98,91.96,0.06,0.97,0.84,Stacking,Move And Rename Class
1,Stack-DT-GR,90.5,89.81,91.72,90.59,90.5,90.47,0.1,0.9,0.81,Stacking,Move And Rename Class
0,TBStack-LR-GR,93.64,93.61,93.7,93.58,93.64,93.63,0.05,0.98,0.87,TreeStacking,Move And Rename Class
1,TBStack-DT-GR,91.4,91.93,90.9,91.3,91.4,91.39,0.09,0.91,0.83,TreeStacking,Move And Rename Class
0,DT-GR,95.38,95.04,95.77,95.4,95.38,95.38,0.05,0.95,0.91,Individual,Move Class
1,LR-GR,86.25,82.86,91.57,86.97,86.25,86.21,0.1,0.97,0.73,Individual,Move Class
2,SVM-GR,89.08,87.22,91.66,89.37,89.08,89.06,0.07,0.98,0.78,Individual,Move Class
