,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
13,Stack-DT,PCA,73.95,75.24,71.39,73.26,73.95,73.93,0.26,0.74,0.49,Stacking,Parameterize Variable
14,Stack-DT,PCA,73.47,74.46,71.44,72.92,73.47,73.46,0.27,0.73,0.49,Stacking,Parameterize Variable
15,Stack-DT,PCA,73.18,74.33,70.8,72.52,73.18,73.16,0.27,0.73,0.49,Stacking,Parameterize Variable
16,Stack-DT,PCA,76.11,75.49,77.3,76.39,76.11,76.1,0.24,0.76,0.49,Stacking,Parameterize Variable
17,Stack-DT,PCA,73.36,75.16,69.79,72.38,73.36,73.33,0.27,0.73,0.49,Stacking,Parameterize Variable
18,Stack-DT,PCA,75.89,76.38,74.96,75.67,75.89,75.89,0.24,0.76,0.49,Stacking,Parameterize Variable
19,Stack-DT,PCA,75.89,76.38,74.96,75.67,75.89,75.89,0.24,0.76,0.49,Stacking,Parameterize Variable
0,TBStack-LR,PCA,83.7,83.34,84.23,83.78,83.7,83.7,0.11,0.92,0.7,TreeStacking,Parameterize Variable
1,TBStack-LR,PCA,85.22,84.21,86.68,85.43,85.22,85.21,0.11,0.92,0.7,TreeStacking,Parameterize Variable
2,TBStack-LR,PCA,83.14,83.16,83.11,83.13,83.14,83.14,0.12,0.91,0.7,TreeStacking,Parameterize Variable
3,TBStack-LR,PCA,85.59,84.05,87.85,85.91,85.59,85.58,0.1,0.93,0.7,TreeStacking,Parameterize Variable
4,TBStack-LR,PCA,85.35,84.5,86.57,85.53,85.35,85.35,0.11,0.92,0.7,TreeStacking,Parameterize Variable
5,TBStack-LR,PCA,82.31,83.53,80.5,81.99,82.31,82.31,0.12,0.91,0.7,TreeStacking,Parameterize Variable
6,TBStack-LR,PCA,85.75,84.06,88.23,86.09,85.75,85.74,0.1,0.93,0.7,TreeStacking,Parameterize Variable
7,TBStack-LR,PCA,84.28,83.6,85.3,84.44,84.28,84.28,0.11,0.92,0.7,TreeStacking,Parameterize Variable
8,TBStack-LR,PCA,86.73,86.04,87.69,86.86,86.73,86.73,0.09,0.94,0.7,TreeStacking,Parameterize Variable
9,TBStack-LR,PCA,86.63,84.29,90.04,87.07,86.63,86.61,0.1,0.93,0.7,TreeStacking,Parameterize Variable
10,TBStack-DT,PCA,77.57,78.89,75.28,77.04,77.57,77.56,0.22,0.78,0.56,TreeStacking,Parameterize Variable
11,TBStack-DT,PCA,79.28,79.65,78.64,79.14,79.28,79.27,0.21,0.79,0.56,TreeStacking,Parameterize Variable
12,TBStack-DT,PCA,77.2,77.67,76.35,77,77.2,77.2,0.23,0.77,0.56,TreeStacking,Parameterize Variable
13,TBStack-DT,PCA,78.08,78.12,78,78.06,78.08,78.08,0.22,0.78,0.56,TreeStacking,Parameterize Variable
14,TBStack-DT,PCA,78.4,78.53,78.16,78.34,78.4,78.4,0.22,0.78,0.56,TreeStacking,Parameterize Variable
15,TBStack-DT,PCA,76.16,78.45,72.14,75.16,76.16,76.12,0.24,0.76,0.56,TreeStacking,Parameterize Variable
16,TBStack-DT,PCA,78.77,79.41,77.68,78.53,78.77,78.77,0.21,0.79,0.56,TreeStacking,Parameterize Variable
17,TBStack-DT,PCA,77.68,78.97,75.44,77.17,77.68,77.67,0.22,0.78,0.56,TreeStacking,Parameterize Variable
18,TBStack-DT,PCA,78.48,79.78,76.29,78,78.48,78.47,0.22,0.78,0.56,TreeStacking,Parameterize Variable
19,TBStack-DT,PCA,79.46,79.45,79.49,79.47,79.46,79.46,0.21,0.79,0.56,TreeStacking,Parameterize Variable
0,Stack-LR,PCA,93.17,94.4,91.78,93.07,93.17,93.17,0.05,0.97,0.87,Stacking,Rename Parameter
1,Stack-LR,PCA,93.21,93.96,92.36,93.15,93.21,93.21,0.05,0.97,0.87,Stacking,Rename Parameter
2,Stack-LR,PCA,93.56,94.49,92.52,93.49,93.56,93.56,0.05,0.97,0.87,Stacking,Rename Parameter
3,Stack-LR,PCA,93.81,94.09,93.5,93.79,93.81,93.81,0.05,0.98,0.87,Stacking,Rename Parameter
4,Stack-LR,PCA,93.07,94.26,91.72,92.97,93.07,93.07,0.05,0.97,0.87,Stacking,Rename Parameter
5,Stack-LR,PCA,93.26,94.37,92,93.17,93.26,93.26,0.05,0.97,0.87,Stacking,Rename Parameter
6,Stack-LR,PCA,93.16,93.51,92.75,93.13,93.16,93.16,0.05,0.97,0.87,Stacking,Rename Parameter
7,Stack-LR,PCA,93.26,93.8,92.66,93.22,93.26,93.26,0.05,0.98,0.87,Stacking,Rename Parameter
8,Stack-LR,PCA,93.17,94.53,91.64,93.06,93.17,93.16,0.05,0.97,0.87,Stacking,Rename Parameter
9,Stack-LR,PCA,93.64,93.97,93.26,93.62,93.64,93.64,0.05,0.98,0.87,Stacking,Rename Parameter
10,Stack-DT,PCA,89.72,89.69,89.76,89.73,89.72,89.72,0.1,0.9,0.79,Stacking,Rename Parameter
11,Stack-DT,PCA,89.09,88.61,89.72,89.16,89.09,89.09,0.11,0.89,0.79,Stacking,Rename Parameter
12,Stack-DT,PCA,89.99,89.67,90.39,90.03,89.99,89.99,0.1,0.9,0.79,Stacking,Rename Parameter
13,Stack-DT,PCA,89.55,89.36,89.8,89.58,89.55,89.55,0.1,0.9,0.79,Stacking,Rename Parameter
14,Stack-DT,PCA,89.57,89.89,89.17,89.53,89.57,89.57,0.1,0.9,0.79,Stacking,Rename Parameter
15,Stack-DT,PCA,89.55,89.98,89,89.49,89.55,89.55,0.1,0.9,0.79,Stacking,Rename Parameter
16,Stack-DT,PCA,89.32,89.8,88.71,89.25,89.32,89.32,0.11,0.89,0.79,Stacking,Rename Parameter
17,Stack-DT,PCA,89.51,89.91,89.02,89.46,89.51,89.51,0.1,0.9,0.79,Stacking,Rename Parameter
18,Stack-DT,PCA,89.38,89.72,88.96,89.34,89.38,89.38,0.11,0.89,0.79,Stacking,Rename Parameter
19,Stack-DT,PCA,89.92,89.58,90.35,89.97,89.92,89.92,0.1,0.9,0.79,Stacking,Rename Parameter
0,TBStack-LR,PCA,97.67,97.19,98.19,97.69,97.67,97.67,0.02,0.99,0.96,TreeStacking,Rename Parameter
1,TBStack-LR,PCA,97.88,97.29,98.51,97.89,97.88,97.88,0.02,0.99,0.96,TreeStacking,Rename Parameter
2,TBStack-LR,PCA,97.77,97.25,98.33,97.79,97.77,97.77,0.02,0.99,0.96,TreeStacking,Rename Parameter
3,TBStack-LR,PCA,98.06,97.31,98.85,98.07,98.06,98.06,0.02,0.99,0.96,TreeStacking,Rename Parameter
