,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
14,TBStack-DT,NoFS,98.95,98.85,99.05,98.95,98.95,98.95,0.01,0.99,0.98,TreeStacking,Rename Variable
15,TBStack-DT,NoFS,98.57,98.98,98.15,98.56,98.57,98.57,0.01,0.99,0.98,TreeStacking,Rename Variable
16,TBStack-DT,NoFS,98.92,98.9,98.94,98.92,98.92,98.92,0.01,0.99,0.98,TreeStacking,Rename Variable
17,TBStack-DT,NoFS,98.96,98.86,99.05,98.96,98.96,98.96,0.01,0.99,0.98,TreeStacking,Rename Variable
18,TBStack-DT,NoFS,98.79,98.79,98.78,98.79,98.79,98.79,0.01,0.99,0.98,TreeStacking,Rename Variable
19,TBStack-DT,NoFS,98.73,98.64,98.83,98.73,98.73,98.73,0.01,0.99,0.98,TreeStacking,Rename Variable
0,Stack-LR,NoFS,87.02,86.98,87.07,87.03,87.02,87.02,0.1,0.94,0.74,Stacking,Replace Variable With Attribute
1,Stack-LR,NoFS,88.05,88.14,87.93,88.04,88.05,88.05,0.09,0.95,0.74,Stacking,Replace Variable With Attribute
2,Stack-LR,NoFS,86.25,85.57,87.21,86.38,86.25,86.25,0.1,0.94,0.74,Stacking,Replace Variable With Attribute
3,Stack-LR,NoFS,86.13,85.1,87.6,86.33,86.13,86.13,0.1,0.93,0.74,Stacking,Replace Variable With Attribute
4,Stack-LR,NoFS,87.33,87.53,87.07,87.3,87.33,87.33,0.09,0.94,0.74,Stacking,Replace Variable With Attribute
5,Stack-LR,NoFS,87.16,85.36,89.71,87.48,87.16,87.16,0.1,0.94,0.74,Stacking,Replace Variable With Attribute
6,Stack-LR,NoFS,86.23,87.69,84.28,85.95,86.23,86.22,0.1,0.94,0.74,Stacking,Replace Variable With Attribute
7,Stack-LR,NoFS,86.03,86.4,85.53,85.96,86.03,86.03,0.1,0.94,0.74,Stacking,Replace Variable With Attribute
8,Stack-LR,NoFS,87.6,85.94,89.9,87.88,87.6,87.59,0.09,0.95,0.74,Stacking,Replace Variable With Attribute
9,Stack-LR,NoFS,86.73,86.24,87.4,86.82,86.73,86.73,0.1,0.94,0.74,Stacking,Replace Variable With Attribute
10,Stack-DT,NoFS,79.81,82.77,75.29,78.85,79.81,79.77,0.2,0.8,0.62,Stacking,Replace Variable With Attribute
11,Stack-DT,NoFS,81.78,81.48,82.26,81.87,81.78,81.78,0.18,0.82,0.62,Stacking,Replace Variable With Attribute
12,Stack-DT,NoFS,80.87,80.72,81.11,80.91,80.87,80.87,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
13,Stack-DT,NoFS,79.83,79.7,80.05,79.88,79.83,79.83,0.2,0.8,0.62,Stacking,Replace Variable With Attribute
14,Stack-DT,NoFS,81.49,82.98,79.23,81.06,81.49,81.48,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
15,Stack-DT,NoFS,81.3,80.28,82.98,81.61,81.3,81.29,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
16,Stack-DT,NoFS,80.77,81.4,79.76,80.57,80.77,80.77,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
17,Stack-DT,NoFS,81.54,82.25,80.43,81.33,81.54,81.54,0.18,0.82,0.62,Stacking,Replace Variable With Attribute
18,Stack-DT,NoFS,82.14,81.58,83.03,82.3,82.14,82.14,0.18,0.82,0.62,Stacking,Replace Variable With Attribute
19,Stack-DT,NoFS,81.13,82.78,78.61,80.64,81.13,81.12,0.19,0.81,0.62,Stacking,Replace Variable With Attribute
0,TBStack-LR,NoFS,92.24,91.5,93.12,92.3,92.24,92.23,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
1,TBStack-LR,NoFS,92.5,92.58,92.4,92.49,92.5,92.5,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
2,TBStack-LR,NoFS,92.28,91.31,93.46,92.37,92.28,92.28,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
3,TBStack-LR,NoFS,91.39,90.31,92.74,91.51,91.39,91.39,0.07,0.96,0.84,TreeStacking,Replace Variable With Attribute
4,TBStack-LR,NoFS,91.97,91.69,92.31,92,91.97,91.97,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
5,TBStack-LR,NoFS,92.62,90.53,95.19,92.81,92.62,92.62,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
6,TBStack-LR,NoFS,91.49,91.57,91.39,91.48,91.49,91.49,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
7,TBStack-LR,NoFS,92.19,91.45,93.08,92.26,92.19,92.19,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
8,TBStack-LR,NoFS,92.74,91.2,94.62,92.87,92.74,92.74,0.05,0.98,0.84,TreeStacking,Replace Variable With Attribute
9,TBStack-LR,NoFS,92.79,92.06,93.65,92.85,92.79,92.79,0.06,0.97,0.84,TreeStacking,Replace Variable With Attribute
10,TBStack-DT,NoFS,87.6,88.98,85.82,87.37,87.6,87.59,0.12,0.88,0.76,TreeStacking,Replace Variable With Attribute
11,TBStack-DT,NoFS,88.46,88.8,88.03,88.41,88.46,88.46,0.12,0.88,0.76,TreeStacking,Replace Variable With Attribute
12,TBStack-DT,NoFS,88.56,89.39,87.5,88.44,88.56,88.56,0.11,0.89,0.76,TreeStacking,Replace Variable With Attribute
13,TBStack-DT,NoFS,86.27,87.56,84.57,86.04,86.27,86.27,0.14,0.86,0.76,TreeStacking,Replace Variable With Attribute
14,TBStack-DT,NoFS,87.55,88.82,85.91,87.34,87.55,87.54,0.12,0.88,0.76,TreeStacking,Replace Variable With Attribute
15,TBStack-DT,NoFS,88.37,87.96,88.89,88.43,88.37,88.37,0.12,0.88,0.76,TreeStacking,Replace Variable With Attribute
16,TBStack-DT,NoFS,87.72,88.82,86.3,87.54,87.72,87.71,0.12,0.88,0.76,TreeStacking,Replace Variable With Attribute
17,TBStack-DT,NoFS,88.15,88.99,87.07,88.02,88.15,88.15,0.12,0.88,0.76,TreeStacking,Replace Variable With Attribute
18,TBStack-DT,NoFS,89.16,89.44,88.8,89.12,89.16,89.16,0.11,0.89,0.76,TreeStacking,Replace Variable With Attribute
19,TBStack-DT,NoFS,88.73,88.82,88.61,88.71,88.73,88.73,0.11,0.89,0.76,TreeStacking,Replace Variable With Attribute
0,Stack-LR,GR,83.96,83.64,84.42,84.03,83.96,83.96,0.12,0.91,0.65,Stacking,Extract Variable
1,Stack-LR,GR,84.74,82.89,87.54,85.15,84.74,84.72,0.11,0.93,0.65,Stacking,Extract Variable
2,Stack-LR,GR,83.49,81.71,86.29,83.94,83.49,83.48,0.12,0.91,0.65,Stacking,Extract Variable
3,Stack-LR,GR,81.78,78.49,87.54,82.77,81.78,81.71,0.13,0.9,0.65,Stacking,Extract Variable
4,Stack-LR,GR,78.16,77.11,80,78.53,78.16,78.15,0.15,0.87,0.65,Stacking,Extract Variable
5,Stack-LR,GR,81.75,81.62,81.88,81.75,81.75,81.75,0.13,0.9,0.65,Stacking,Extract Variable
6,Stack-LR,GR,82.53,80.77,85.31,82.98,82.53,82.51,0.13,0.9,0.65,Stacking,Extract Variable
7,Stack-LR,GR,80.03,79.33,81.31,80.31,80.03,80.03,0.13,0.89,0.65,Stacking,Extract Variable
8,Stack-LR,GR,82.37,80.59,85.36,82.9,82.37,82.35,0.12,0.91,0.65,Stacking,Extract Variable
9,Stack-LR,GR,85.49,82.76,89.72,86.1,85.49,85.46,0.11,0.93,0.65,Stacking,Extract Variable
10,Stack-DT,GR,76.01,75.85,76.32,76.09,76.01,76.01,0.24,0.76,0.51,Stacking,Extract Variable
11,Stack-DT,GR,73.05,73.12,72.9,73.01,73.05,73.05,0.27,0.73,0.51,Stacking,Extract Variable
12,Stack-DT,GR,75.39,75.87,74.45,75.16,75.39,75.39,0.25,0.75,0.51,Stacking,Extract Variable
13,Stack-DT,GR,76.95,75.37,80.06,77.64,76.95,76.92,0.23,0.77,0.51,Stacking,Extract Variable
14,Stack-DT,GR,74.26,73.99,74.69,74.34,74.26,74.26,0.26,0.74,0.51,Stacking,Extract Variable
15,Stack-DT,GR,77.85,78.53,76.56,77.53,77.85,77.84,0.22,0.78,0.51,Stacking,Extract Variable
16,Stack-DT,GR,76.6,75.3,79.06,77.13,76.6,76.59,0.23,0.77,0.51,Stacking,Extract Variable
17,Stack-DT,GR,72.54,75.09,67.6,71.15,72.54,72.48,0.27,0.73,0.51,Stacking,Extract Variable
18,Stack-DT,GR,75.82,76.77,74.14,75.44,75.82,75.81,0.24,0.76,0.51,Stacking,Extract Variable
19,Stack-DT,GR,77.22,77.26,77.26,77.26,77.22,77.22,0.23,0.77,0.51,Stacking,Extract Variable
0,TBStack-LR,GR,85.36,84.71,86.29,85.49,85.36,85.36,0.11,0.92,0.68,TreeStacking,Extract Variable
1,TBStack-LR,GR,86.45,84.21,89.72,86.88,86.45,86.43,0.1,0.93,0.68,TreeStacking,Extract Variable
2,TBStack-LR,GR,83.49,82.67,84.74,83.69,83.49,83.49,0.11,0.92,0.68,TreeStacking,Extract Variable
3,TBStack-LR,GR,84.11,81.92,87.54,84.64,84.11,84.09,0.12,0.91,0.68,TreeStacking,Extract Variable
4,TBStack-LR,GR,79.72,79.32,80.31,79.81,79.72,79.72,0.14,0.89,0.68,TreeStacking,Extract Variable
5,TBStack-LR,GR,83.62,84.13,82.81,83.46,83.62,83.62,0.12,0.91,0.68,TreeStacking,Extract Variable
6,TBStack-LR,GR,84.09,83.03,85.62,84.31,84.09,84.08,0.12,0.92,0.68,TreeStacking,Extract Variable
7,TBStack-LR,GR,83.46,83.28,83.8,83.54,83.46,83.46,0.12,0.91,0.68,TreeStacking,Extract Variable
8,TBStack-LR,GR,84.24,82.93,86.29,84.58,84.24,84.24,0.11,0.92,0.68,TreeStacking,Extract Variable
9,TBStack-LR,GR,87.05,85,90.03,87.44,87.05,87.04,0.1,0.94,0.68,TreeStacking,Extract Variable
10,TBStack-DT,GR,75.55,76.28,74.14,75.2,75.55,75.54,0.24,0.76,0.52,TreeStacking,Extract Variable
11,TBStack-DT,GR,76.32,78.64,72.27,75.32,76.32,76.29,0.24,0.76,0.52,TreeStacking,Extract Variable
12,TBStack-DT,GR,74.77,75.24,73.83,74.53,74.77,74.76,0.25,0.75,0.52,TreeStacking,Extract Variable
13,TBStack-DT,GR,77.41,76.19,79.75,77.93,77.41,77.4,0.23,0.77,0.52,TreeStacking,Extract Variable
14,TBStack-DT,GR,72.54,71.82,74.06,72.92,72.54,72.54,0.27,0.73,0.52,TreeStacking,Extract Variable
15,TBStack-DT,GR,76.29,77.81,73.44,75.56,76.29,76.27,0.24,0.76,0.52,TreeStacking,Extract Variable
16,TBStack-DT,GR,75.2,75.56,74.38,74.96,75.2,75.19,0.25,0.75,0.52,TreeStacking,Extract Variable
17,TBStack-DT,GR,74.57,74.53,74.77,74.65,74.57,74.57,0.25,0.75,0.52,TreeStacking,Extract Variable
18,TBStack-DT,GR,76.91,76.62,77.57,77.09,76.91,76.91,0.23,0.77,0.52,TreeStacking,Extract Variable
19,TBStack-DT,GR,78.32,75.71,83.49,79.41,78.32,78.26,0.22,0.78,0.52,TreeStacking,Extract Variable
0,Stack-LR,GR,87.1,87.21,86.96,87.08,87.1,87.1,0.09,0.94,0.77,Stacking,Inline Variable
1,Stack-LR,GR,87.88,89.61,85.69,87.61,87.88,87.87,0.09,0.95,0.77,Stacking,Inline Variable
2,Stack-LR,GR,88.09,89.16,86.72,87.92,88.09,88.08,0.09,0.95,0.77,Stacking,Inline Variable
3,Stack-LR,GR,89.68,88.44,91.3,89.85,89.68,89.68,0.08,0.95,0.77,Stacking,Inline Variable
4,Stack-LR,GR,88.35,88.19,88.55,88.37,88.35,88.35,0.09,0.95,0.77,Stacking,Inline Variable
5,Stack-LR,GR,87.98,88.42,87.41,87.91,87.98,87.98,0.09,0.94,0.77,Stacking,Inline Variable
6,Stack-LR,GR,88.14,89.3,86.67,87.97,88.14,88.14,0.09,0.95,0.77,Stacking,Inline Variable
7,Stack-LR,GR,88.04,88.24,87.78,88.01,88.04,88.04,0.09,0.95,0.77,Stacking,Inline Variable
8,Stack-LR,GR,88.49,88.76,88.14,88.45,88.49,88.49,0.09,0.95,0.77,Stacking,Inline Variable
9,Stack-LR,GR,88.88,87.26,91.05,89.12,88.88,88.87,0.08,0.95,0.77,Stacking,Inline Variable
10,Stack-DT,GR,80.85,82.15,78.82,80.45,80.85,80.84,0.19,0.81,0.66,Stacking,Inline Variable
11,Stack-DT,GR,83.47,83.7,83.12,83.41,83.47,83.47,0.17,0.83,0.66,Stacking,Inline Variable
12,Stack-DT,GR,83.28,83.92,82.35,83.13,83.28,83.28,0.17,0.83,0.66,Stacking,Inline Variable
13,Stack-DT,GR,84.34,84.32,84.39,84.35,84.34,84.34,0.16,0.84,0.66,Stacking,Inline Variable
14,Stack-DT,GR,82.48,83.34,81.19,82.25,82.48,82.48,0.18,0.82,0.66,Stacking,Inline Variable
15,Stack-DT,GR,81.32,84.32,76.94,80.46,81.32,81.28,0.19,0.81,0.66,Stacking,Inline Variable
16,Stack-DT,GR,83.57,84.32,82.46,83.38,83.57,83.56,0.16,0.84,0.66,Stacking,Inline Variable
17,Stack-DT,GR,83.18,83.6,82.54,83.07,83.18,83.18,0.17,0.83,0.66,Stacking,Inline Variable
18,Stack-DT,GR,83.28,84.35,81.73,83.01,83.28,83.27,0.17,0.83,0.66,Stacking,Inline Variable
19,Stack-DT,GR,83.85,84.41,83.03,83.72,83.85,83.85,0.16,0.84,0.66,Stacking,Inline Variable
0,TBStack-LR,GR,95.01,93.52,96.73,95.1,95.01,95.01,0.04,0.98,0.92,TreeStacking,Inline Variable
1,TBStack-LR,GR,95.83,95.06,96.69,95.87,95.83,95.83,0.03,0.98,0.92,TreeStacking,Inline Variable
2,TBStack-LR,GR,95.71,94.09,97.55,95.79,95.71,95.71,0.04,0.98,0.92,TreeStacking,Inline Variable
3,TBStack-LR,GR,96.32,94.96,97.83,96.38,96.32,96.32,0.03,0.98,0.92,TreeStacking,Inline Variable
4,TBStack-LR,GR,96.18,94.56,98,96.25,96.18,96.18,0.03,0.98,0.92,TreeStacking,Inline Variable
5,TBStack-LR,GR,95.67,94.54,96.93,95.72,95.67,95.67,0.04,0.98,0.92,TreeStacking,Inline Variable
6,TBStack-LR,GR,96.16,94.52,98,96.23,96.16,96.16,0.03,0.98,0.92,TreeStacking,Inline Variable
7,TBStack-LR,GR,96.12,94.58,97.83,96.18,96.12,96.11,0.03,0.99,0.92,TreeStacking,Inline Variable
8,TBStack-LR,GR,95.61,94.32,97.06,95.67,95.61,95.6,0.04,0.98,0.92,TreeStacking,Inline Variable
9,TBStack-LR,GR,95.73,94.05,97.63,95.81,95.73,95.73,0.04,0.98,0.92,TreeStacking,Inline Variable
10,TBStack-DT,GR,92.7,93.43,91.86,92.64,92.7,92.7,0.07,0.93,0.86,TreeStacking,Inline Variable
11,TBStack-DT,GR,93.05,94.43,91.5,92.94,93.05,93.05,0.07,0.93,0.86,TreeStacking,Inline Variable
12,TBStack-DT,GR,93.68,94.39,92.89,93.64,93.68,93.68,0.06,0.94,0.86,TreeStacking,Inline Variable
13,TBStack-DT,GR,93.34,94.13,92.44,93.28,93.34,93.34,0.07,0.93,0.86,TreeStacking,Inline Variable
14,TBStack-DT,GR,92.78,93.33,92.15,92.74,92.78,92.78,0.07,0.93,0.86,TreeStacking,Inline Variable
15,TBStack-DT,GR,92.17,93.84,90.27,92.02,92.17,92.17,0.08,0.92,0.86,TreeStacking,Inline Variable
16,TBStack-DT,GR,93.05,93.51,92.52,93.01,93.05,93.05,0.07,0.93,0.86,TreeStacking,Inline Variable
17,TBStack-DT,GR,93.19,93.53,92.8,93.17,93.19,93.19,0.07,0.93,0.86,TreeStacking,Inline Variable
18,TBStack-DT,GR,92.64,93.13,92.07,92.6,92.64,92.64,0.07,0.93,0.86,TreeStacking,Inline Variable
19,TBStack-DT,GR,93.11,93.23,92.97,93.1,93.11,93.11,0.07,0.93,0.86,TreeStacking,Inline Variable
0,Stack-LR,GR,87.27,90.09,83.75,86.8,87.27,87.25,0.1,0.94,0.74,Stacking,Parameterize Variable
1,Stack-LR,GR,88.09,88.69,87.32,88,88.09,88.09,0.09,0.95,0.74,Stacking,Parameterize Variable
2,Stack-LR,GR,85.24,85.93,84.28,85.1,85.24,85.24,0.1,0.93,0.74,Stacking,Parameterize Variable
3,Stack-LR,GR,86.81,87.07,86.47,86.77,86.81,86.81,0.1,0.93,0.74,Stacking,Parameterize Variable
4,Stack-LR,GR,86.73,87.01,86.36,86.68,86.73,86.73,0.1,0.93,0.74,Stacking,Parameterize Variable
5,Stack-LR,GR,84.55,87.12,81.09,84,84.55,84.53,0.11,0.92,0.74,Stacking,Parameterize Variable
6,Stack-LR,GR,87.64,87.48,87.85,87.67,87.64,87.64,0.09,0.94,0.74,Stacking,Parameterize Variable
7,Stack-LR,GR,87.96,87.32,88.81,88.06,87.96,87.96,0.09,0.94,0.74,Stacking,Parameterize Variable
8,Stack-LR,GR,87.53,88.31,86.52,87.41,87.53,87.53,0.1,0.93,0.74,Stacking,Parameterize Variable
9,Stack-LR,GR,87.88,88.06,87.64,87.85,87.88,87.88,0.09,0.94,0.74,Stacking,Parameterize Variable
10,Stack-DT,GR,79.65,82.72,74.96,78.65,79.65,79.6,0.2,0.8,0.61,Stacking,Parameterize Variable
11,Stack-DT,GR,82.42,83.82,80.34,82.05,82.42,82.41,0.18,0.82,0.61,Stacking,Parameterize Variable
12,Stack-DT,GR,79.83,80.67,78.48,79.56,79.83,79.83,0.2,0.8,0.61,Stacking,Parameterize Variable
13,Stack-DT,GR,81.17,82.36,79.33,80.81,81.17,81.16,0.19,0.81,0.61,Stacking,Parameterize Variable
14,Stack-DT,GR,80.1,81.99,77.14,79.49,80.1,80.08,0.2,0.8,0.61,Stacking,Parameterize Variable
15,Stack-DT,GR,80.07,81.73,77.46,79.54,80.07,80.06,0.2,0.8,0.61,Stacking,Parameterize Variable
16,Stack-DT,GR,81.94,83.14,80.13,81.61,81.94,81.93,0.18,0.82,0.61,Stacking,Parameterize Variable
17,Stack-DT,GR,79.97,81.16,78.05,79.58,79.97,79.96,0.2,0.8,0.61,Stacking,Parameterize Variable
18,Stack-DT,GR,79.97,81.83,77.04,79.36,79.97,79.95,0.2,0.8,0.61,Stacking,Parameterize Variable
19,Stack-DT,GR,80.23,82.52,76.72,79.51,80.23,80.21,0.2,0.8,0.61,Stacking,Parameterize Variable
0,TBStack-LR,GR,94.65,93.56,95.9,94.71,94.65,94.64,0.05,0.97,0.9,TreeStacking,Parameterize Variable
1,TBStack-LR,GR,95.66,94.45,97.02,95.72,95.66,95.66,0.04,0.98,0.9,TreeStacking,Parameterize Variable
2,TBStack-LR,GR,95.07,93.08,97.39,95.18,95.07,95.07,0.04,0.97,0.9,TreeStacking,Parameterize Variable
3,TBStack-LR,GR,94.62,92.66,96.91,94.74,94.62,94.62,0.05,0.97,0.9,TreeStacking,Parameterize Variable
4,TBStack-LR,GR,95.15,92.87,97.82,95.28,95.15,95.15,0.04,0.98,0.9,TreeStacking,Parameterize Variable
5,TBStack-LR,GR,94.51,93.36,95.84,94.58,94.51,94.51,0.05,0.97,0.9,TreeStacking,Parameterize Variable
6,TBStack-LR,GR,95.18,92.83,97.92,95.31,95.18,95.17,0.04,0.98,0.9,TreeStacking,Parameterize Variable
7,TBStack-LR,GR,94.81,93.17,96.7,94.9,94.81,94.8,0.04,0.97,0.9,TreeStacking,Parameterize Variable
8,TBStack-LR,GR,94.54,93.5,95.74,94.6,94.54,94.54,0.04,0.98,0.9,TreeStacking,Parameterize Variable
9,TBStack-LR,GR,94.81,93.13,96.75,94.9,94.81,94.8,0.04,0.98,0.9,TreeStacking,Parameterize Variable
10,TBStack-DT,GR,91.85,93.28,90.2,91.71,91.85,91.85,0.08,0.92,0.83,TreeStacking,Parameterize Variable
11,TBStack-DT,GR,92.19,93.61,90.57,92.07,92.19,92.19,0.08,0.92,0.83,TreeStacking,Parameterize Variable
12,TBStack-DT,GR,91.74,92.6,90.73,91.66,91.74,91.74,0.08,0.92,0.83,TreeStacking,Parameterize Variable
13,TBStack-DT,GR,91.58,91.81,91.32,91.56,91.58,91.58,0.08,0.92,0.83,TreeStacking,Parameterize Variable
14,TBStack-DT,GR,91.85,92.3,91.32,91.81,91.85,91.85,0.08,0.92,0.83,TreeStacking,Parameterize Variable
15,TBStack-DT,GR,91.96,93.06,90.68,91.85,91.96,91.95,0.08,0.92,0.83,TreeStacking,Parameterize Variable
16,TBStack-DT,GR,91.32,91.94,90.57,91.25,91.32,91.32,0.09,0.91,0.83,TreeStacking,Parameterize Variable
17,TBStack-DT,GR,91.85,92.62,90.94,91.77,91.85,91.85,0.08,0.92,0.83,TreeStacking,Parameterize Variable
18,TBStack-DT,GR,91.34,92.78,89.66,91.19,91.34,91.34,0.09,0.91,0.83,TreeStacking,Parameterize Variable
19,TBStack-DT,GR,91.1,92.14,89.88,90.99,91.1,91.1,0.09,0.91,0.83,TreeStacking,Parameterize Variable
0,Stack-LR,GR,96.84,97.63,96.02,96.82,96.84,96.84,0.03,0.99,0.94,Stacking,Rename Parameter
1,Stack-LR,GR,96.89,97.62,96.12,96.87,96.89,96.89,0.03,0.99,0.94,Stacking,Rename Parameter
2,Stack-LR,GR,96.9,97.8,95.94,96.87,96.9,96.89,0.03,0.99,0.94,Stacking,Rename Parameter
3,Stack-LR,GR,97.21,97.68,96.71,97.19,97.21,97.21,0.02,0.99,0.94,Stacking,Rename Parameter
4,Stack-LR,GR,96.72,97.48,95.92,96.69,96.72,96.72,0.03,0.99,0.94,Stacking,Rename Parameter
5,Stack-LR,GR,96.71,97.7,95.67,96.68,96.71,96.71,0.03,0.99,0.94,Stacking,Rename Parameter
6,Stack-LR,GR,97.03,97.9,96.13,97.01,97.03,97.03,0.03,0.99,0.94,Stacking,Rename Parameter
7,Stack-LR,GR,96.82,97.65,95.95,96.79,96.82,96.82,0.03,0.99,0.94,Stacking,Rename Parameter
8,Stack-LR,GR,96.6,97.42,95.72,96.56,96.6,96.59,0.03,0.99,0.94,Stacking,Rename Parameter
9,Stack-LR,GR,97.03,97.5,96.53,97.01,97.03,97.03,0.02,0.99,0.94,Stacking,Rename Parameter
10,Stack-DT,GR,94.7,94.58,94.84,94.71,94.7,94.7,0.05,0.95,0.89,Stacking,Rename Parameter
11,Stack-DT,GR,94.69,94.58,94.83,94.7,94.69,94.69,0.05,0.95,0.89,Stacking,Rename Parameter
12,Stack-DT,GR,94.77,94.5,95.07,94.78,94.77,94.77,0.05,0.95,0.89,Stacking,Rename Parameter
13,Stack-DT,GR,94.56,94.34,94.8,94.57,94.56,94.56,0.05,0.95,0.89,Stacking,Rename Parameter
14,Stack-DT,GR,94.52,94.26,94.81,94.54,94.52,94.52,0.05,0.95,0.89,Stacking,Rename Parameter
15,Stack-DT,GR,94.71,94.54,94.91,94.72,94.71,94.71,0.05,0.95,0.89,Stacking,Rename Parameter
16,Stack-DT,GR,94.42,94.41,94.43,94.42,94.42,94.42,0.06,0.94,0.89,Stacking,Rename Parameter
17,Stack-DT,GR,94.37,94.2,94.56,94.38,94.37,94.37,0.06,0.94,0.89,Stacking,Rename Parameter
18,Stack-DT,GR,94.06,93.99,94.14,94.07,94.06,94.06,0.06,0.94,0.89,Stacking,Rename Parameter
19,Stack-DT,GR,94.63,93.88,95.48,94.68,94.63,94.63,0.05,0.95,0.89,Stacking,Rename Parameter
0,TBStack-LR,GR,99.05,99.28,98.82,99.05,99.05,99.05,0.01,1,0.99,TreeStacking,Rename Parameter
1,TBStack-LR,GR,99.34,99.34,99.34,99.34,99.34,99.34,0.01,1,0.99,TreeStacking,Rename Parameter
2,TBStack-LR,GR,99.32,99.37,99.26,99.32,99.32,99.32,0.01,1,0.99,TreeStacking,Rename Parameter
3,TBStack-LR,GR,99.51,99.41,99.62,99.51,99.51,99.51,0,1,0.99,TreeStacking,Rename Parameter
4,TBStack-LR,GR,99.45,99.43,99.47,99.45,99.45,99.45,0,1,0.99,TreeStacking,Rename Parameter
5,TBStack-LR,GR,99.13,99.28,98.98,99.13,99.13,99.13,0.01,1,0.99,TreeStacking,Rename Parameter
6,TBStack-LR,GR,99.32,99.33,99.31,99.32,99.32,99.32,0.01,1,0.99,TreeStacking,Rename Parameter
7,TBStack-LR,GR,99.47,99.41,99.54,99.47,99.47,99.47,0,1,0.99,TreeStacking,Rename Parameter
8,TBStack-LR,GR,99.29,99.17,99.41,99.29,99.29,99.29,0.01,1,0.99,TreeStacking,Rename Parameter
9,TBStack-LR,GR,99.43,99.3,99.56,99.43,99.43,99.43,0,1,0.99,TreeStacking,Rename Parameter
10,TBStack-DT,GR,98.84,98.93,98.75,98.84,98.84,98.84,0.01,0.99,0.98,TreeStacking,Rename Parameter
11,TBStack-DT,GR,98.98,99.11,98.85,98.98,98.98,98.98,0.01,0.99,0.98,TreeStacking,Rename Parameter
12,TBStack-DT,GR,98.71,98.97,98.43,98.7,98.71,98.71,0.01,0.99,0.98,TreeStacking,Rename Parameter
13,TBStack-DT,GR,98.98,99.1,98.86,98.98,98.98,98.98,0.01,0.99,0.98,TreeStacking,Rename Parameter
14,TBStack-DT,GR,98.82,98.89,98.75,98.82,98.82,98.82,0.01,0.99,0.98,TreeStacking,Rename Parameter
15,TBStack-DT,GR,98.62,98.76,98.47,98.61,98.62,98.62,0.01,0.99,0.98,TreeStacking,Rename Parameter
16,TBStack-DT,GR,98.88,99.02,98.74,98.88,98.88,98.88,0.01,0.99,0.98,TreeStacking,Rename Parameter
17,TBStack-DT,GR,98.98,99.01,98.94,98.98,98.98,98.98,0.01,0.99,0.98,TreeStacking,Rename Parameter
18,TBStack-DT,GR,98.67,98.56,98.78,98.67,98.67,98.67,0.01,0.99,0.98,TreeStacking,Rename Parameter
19,TBStack-DT,GR,98.91,98.88,98.93,98.91,98.91,98.91,0.01,0.99,0.98,TreeStacking,Rename Parameter
0,Stack-LR,GR,98.01,98.87,97.14,98,98.01,98.01,0.02,0.99,0.96,Stacking,Rename Variable
1,Stack-LR,GR,98.14,98.88,97.39,98.13,98.14,98.14,0.02,0.99,0.96,Stacking,Rename Variable
2,Stack-LR,GR,98.1,98.86,97.31,98.08,98.1,98.1,0.02,0.99,0.96,Stacking,Rename Variable
3,Stack-LR,GR,98.07,98.73,97.39,98.06,98.07,98.07,0.02,0.99,0.96,Stacking,Rename Variable
4,Stack-LR,GR,98.36,98.92,97.79,98.36,98.36,98.36,0.01,0.99,0.96,Stacking,Rename Variable
5,Stack-LR,GR,97.8,98.89,96.68,97.77,97.8,97.8,0.02,0.99,0.96,Stacking,Rename Variable
6,Stack-LR,GR,98.19,98.88,97.48,98.17,98.19,98.19,0.02,0.99,0.96,Stacking,Rename Variable
7,Stack-LR,GR,98.25,98.85,97.64,98.24,98.25,98.25,0.01,0.99,0.96,Stacking,Rename Variable
8,Stack-LR,GR,98.04,98.87,97.2,98.03,98.04,98.04,0.02,0.99,0.96,Stacking,Rename Variable
9,Stack-LR,GR,98.1,98.79,97.4,98.09,98.1,98.1,0.02,0.99,0.96,Stacking,Rename Variable
10,Stack-DT,GR,96.58,96.55,96.62,96.58,96.58,96.58,0.03,0.97,0.93,Stacking,Rename Variable
11,Stack-DT,GR,96.3,95.8,96.84,96.32,96.3,96.3,0.04,0.96,0.93,Stacking,Rename Variable
12,Stack-DT,GR,96.49,95.85,97.18,96.51,96.49,96.49,0.04,0.96,0.93,Stacking,Rename Variable
13,Stack-DT,GR,96.78,96.48,97.1,96.79,96.78,96.78,0.03,0.97,0.93,Stacking,Rename Variable
