,Model,FS,Accuracy,Precision,Recall,F1-score,F1-micro,F1-weight,Brier,AUC,MCC,Type,Dataset
6,Stack-LR,GR,89.88,92.23,87.09,89.59,89.88,89.87,0.08,0.96,0.79,Stacking,Push Down Method
7,Stack-LR,GR,88.83,92.23,84.8,88.36,88.83,88.81,0.08,0.95,0.79,Stacking,Push Down Method
8,Stack-LR,GR,89.04,92.91,84.54,88.53,89.04,89.02,0.08,0.95,0.79,Stacking,Push Down Method
9,Stack-LR,GR,88.83,92.63,84.37,88.31,88.83,88.81,0.09,0.94,0.79,Stacking,Push Down Method
10,Stack-DT,GR,86.69,92.24,80.11,85.75,86.69,86.63,0.13,0.87,0.7,Stacking,Push Down Method
11,Stack-DT,GR,84.95,91.8,76.76,83.61,84.95,84.85,0.15,0.85,0.7,Stacking,Push Down Method
12,Stack-DT,GR,83.17,91.73,72.92,81.25,83.17,82.99,0.17,0.83,0.7,Stacking,Push Down Method
13,Stack-DT,GR,81.54,90.54,70.44,79.23,81.54,81.31,0.18,0.82,0.7,Stacking,Push Down Method
14,Stack-DT,GR,88.07,92.45,82.9,87.42,88.07,88.03,0.12,0.88,0.7,Stacking,Push Down Method
15,Stack-DT,GR,87.26,92.48,81.11,86.42,87.26,87.21,0.13,0.87,0.7,Stacking,Push Down Method
16,Stack-DT,GR,83.36,90.72,74.32,81.71,83.36,83.22,0.17,0.83,0.7,Stacking,Push Down Method
17,Stack-DT,GR,82.17,91.67,70.77,79.88,82.17,81.94,0.18,0.82,0.7,Stacking,Push Down Method
18,Stack-DT,GR,81.67,91.51,69.82,79.21,81.67,81.41,0.18,0.82,0.7,Stacking,Push Down Method
19,Stack-DT,GR,84.17,92.1,74.75,82.52,84.17,84.03,0.16,0.84,0.7,Stacking,Push Down Method
0,TBStack-LR,GR,96.83,97.17,96.47,96.82,96.83,96.83,0.03,0.99,0.94,TreeStacking,Push Down Method
1,TBStack-LR,GR,97.89,97.43,98.38,97.9,97.89,97.89,0.02,0.99,0.94,TreeStacking,Push Down Method
2,TBStack-LR,GR,96.28,96.75,95.78,96.27,96.28,96.28,0.03,0.98,0.94,TreeStacking,Push Down Method
3,TBStack-LR,GR,97.76,97.31,98.24,97.77,97.76,97.76,0.02,0.99,0.94,TreeStacking,Push Down Method
4,TBStack-LR,GR,97.18,96.41,98,97.2,97.18,97.18,0.02,0.99,0.94,TreeStacking,Push Down Method
5,TBStack-LR,GR,96.14,97.15,95.07,96.1,96.14,96.14,0.03,0.99,0.94,TreeStacking,Push Down Method
6,TBStack-LR,GR,96.47,96.65,96.28,96.47,96.47,96.47,0.03,0.99,0.94,TreeStacking,Push Down Method
7,TBStack-LR,GR,96.02,97.05,94.93,95.98,96.02,96.02,0.03,0.99,0.94,TreeStacking,Push Down Method
8,TBStack-LR,GR,97.15,97.14,97.17,97.15,97.15,97.15,0.02,0.99,0.94,TreeStacking,Push Down Method
9,TBStack-LR,GR,97.62,97.26,98,97.63,97.62,97.62,0.02,0.99,0.94,TreeStacking,Push Down Method
10,TBStack-DT,GR,93.89,97.43,90.16,93.65,93.89,93.88,0.06,0.94,0.85,TreeStacking,Push Down Method
11,TBStack-DT,GR,93.55,97.53,89.35,93.26,93.55,93.53,0.06,0.94,0.85,TreeStacking,Push Down Method
12,TBStack-DT,GR,90.23,97.1,82.94,89.47,90.23,90.18,0.1,0.9,0.85,TreeStacking,Push Down Method
13,TBStack-DT,GR,90.82,97.43,83.85,90.13,90.82,90.77,0.09,0.91,0.85,TreeStacking,Push Down Method
14,TBStack-DT,GR,93.1,97.11,88.85,92.8,93.1,93.09,0.07,0.93,0.85,TreeStacking,Push Down Method
15,TBStack-DT,GR,93.06,97.45,88.42,92.72,93.06,93.04,0.07,0.93,0.85,TreeStacking,Push Down Method
16,TBStack-DT,GR,94.52,97.08,91.81,94.37,94.52,94.52,0.05,0.95,0.85,TreeStacking,Push Down Method
17,TBStack-DT,GR,90.98,97.12,84.47,90.36,90.98,90.95,0.09,0.91,0.85,TreeStacking,Push Down Method
18,TBStack-DT,GR,91.95,97.54,86.06,91.45,91.95,91.92,0.08,0.92,0.85,TreeStacking,Push Down Method
19,TBStack-DT,GR,92.94,97.32,88.3,92.59,92.94,92.92,0.07,0.93,0.85,TreeStacking,Push Down Method
0,Stack-LR,GR,84.02,84.94,82.7,83.81,84.02,84.02,0.12,0.91,0.58,Stacking,Rename Method
1,Stack-LR,GR,79.57,77.44,83.46,80.34,79.57,79.54,0.14,0.87,0.58,Stacking,Rename Method
2,Stack-LR,GR,79.57,76.78,84.79,80.58,79.57,79.52,0.14,0.88,0.58,Stacking,Rename Method
3,Stack-LR,GR,80.32,78,84.47,81.1,80.32,80.29,0.14,0.88,0.58,Stacking,Rename Method
4,Stack-LR,GR,68.8,64.44,83.91,72.9,68.8,68.07,0.21,0.77,0.58,Stacking,Rename Method
5,Stack-LR,GR,82.48,82.01,83.22,82.61,82.48,82.48,0.13,0.89,0.58,Stacking,Rename Method
6,Stack-LR,GR,77.64,74.81,83.35,78.85,77.64,77.57,0.16,0.84,0.58,Stacking,Rename Method
7,Stack-LR,GR,81.04,78.9,84.75,81.72,81.04,81.01,0.14,0.89,0.58,Stacking,Rename Method
8,Stack-LR,GR,74.61,71,83.21,76.62,74.61,74.42,0.19,0.79,0.58,Stacking,Rename Method
9,Stack-LR,GR,78.44,75.44,84.33,79.64,78.44,78.36,0.15,0.87,0.58,Stacking,Rename Method
10,Stack-DT,GR,55.68,53.15,95.95,68.4,55.68,47.11,0.44,0.56,0.13,Stacking,Rename Method
11,Stack-DT,GR,55.3,52.94,95.58,68.14,55.3,46.64,0.45,0.55,0.13,Stacking,Rename Method
12,Stack-DT,GR,56.62,53.69,96.45,68.98,56.62,48.44,0.43,0.57,0.13,Stacking,Rename Method
13,Stack-DT,GR,53.61,51.99,94.53,67.08,53.61,44.28,0.46,0.54,0.13,Stacking,Rename Method
14,Stack-DT,GR,51.46,50.77,95.87,66.39,51.46,39.54,0.49,0.51,0.13,Stacking,Rename Method
15,Stack-DT,GR,51.73,50.94,93.72,66.01,51.73,41.39,0.48,0.52,0.13,Stacking,Rename Method
16,Stack-DT,GR,52.91,51.57,95.35,66.94,52.91,42.56,0.47,0.53,0.13,Stacking,Rename Method
17,Stack-DT,GR,51.84,50.99,94.85,66.32,51.84,40.91,0.48,0.52,0.13,Stacking,Rename Method
18,Stack-DT,GR,51.69,50.9,95.69,66.45,51.69,40.09,0.48,0.52,0.13,Stacking,Rename Method
19,Stack-DT,GR,54.72,52.59,95.89,67.93,54.72,45.48,0.45,0.55,0.13,Stacking,Rename Method
0,TBStack-LR,GR,83.56,85.83,80.38,83.02,83.56,83.54,0.12,0.91,0.57,TreeStacking,Rename Method
1,TBStack-LR,GR,80.62,81.02,79.98,80.5,80.62,80.62,0.14,0.88,0.57,TreeStacking,Rename Method
2,TBStack-LR,GR,79.17,78.27,80.77,79.5,79.17,79.17,0.14,0.88,0.57,TreeStacking,Rename Method
3,TBStack-LR,GR,80.03,79.41,81.06,80.23,80.03,80.02,0.14,0.88,0.57,TreeStacking,Rename Method
4,TBStack-LR,GR,69.03,65.31,81.2,72.39,69.03,68.57,0.21,0.77,0.57,TreeStacking,Rename Method
5,TBStack-LR,GR,81.6,82.45,80.3,81.36,81.6,81.6,0.13,0.9,0.57,TreeStacking,Rename Method
6,TBStack-LR,GR,77.07,74.94,81.34,78.01,77.07,77.03,0.16,0.84,0.57,TreeStacking,Rename Method
7,TBStack-LR,GR,80.95,80.02,82.49,81.24,80.95,80.95,0.13,0.89,0.57,TreeStacking,Rename Method
8,TBStack-LR,GR,74.48,72.1,79.87,75.78,74.48,74.41,0.18,0.8,0.57,TreeStacking,Rename Method
9,TBStack-LR,GR,79.23,78.45,80.6,79.51,79.23,79.22,0.14,0.88,0.57,TreeStacking,Rename Method
10,TBStack-DT,GR,58.08,54.6,95.92,69.59,58.08,51.08,0.42,0.58,0.18,TreeStacking,Rename Method
11,TBStack-DT,GR,56.45,53.61,95.83,68.76,56.45,48.46,0.44,0.56,0.18,TreeStacking,Rename Method
12,TBStack-DT,GR,56.49,53.63,95.89,68.79,56.49,48.49,0.44,0.56,0.18,TreeStacking,Rename Method
13,TBStack-DT,GR,56,53.35,95.49,68.46,56,47.87,0.44,0.56,0.18,TreeStacking,Rename Method
14,TBStack-DT,GR,53.8,52.06,96.13,67.54,53.8,43.72,0.46,0.54,0.18,TreeStacking,Rename Method
15,TBStack-DT,GR,54.02,52.19,95.79,67.57,54.02,44.3,0.46,0.54,0.18,TreeStacking,Rename Method
16,TBStack-DT,GR,54.58,52.51,95.86,67.85,54.58,45.25,0.45,0.55,0.18,TreeStacking,Rename Method
17,TBStack-DT,GR,54.99,52.78,94.51,67.74,54.99,46.65,0.45,0.55,0.18,TreeStacking,Rename Method
18,TBStack-DT,GR,54.62,52.53,96,67.9,54.62,45.25,0.45,0.55,0.18,TreeStacking,Rename Method
19,TBStack-DT,GR,53.83,52.09,95.4,67.39,53.83,44.18,0.46,0.54,0.18,TreeStacking,Rename Method
